dayofweek,Hours,time1,time2,time3,PULocationID,count
6,0,0,0,0,43,403
6,1,0,0,403,43,194
6,2,0,403,194,43,134
6,3,403,194,134,43,62
6,4,194,134,62,43,39
6,5,134,62,39,43,8
6,6,62,39,8,43,21
6,7,39,8,21,43,40
6,8,8,21,40,43,48
6,9,21,40,48,43,60
6,10,40,48,60,43,99
6,11,48,60,99,43,141
6,12,60,99,141,43,199
6,13,99,141,199,43,254
6,14,141,199,254,43,318
6,15,199,254,318,43,345
6,16,254,318,345,43,285
6,17,318,345,285,43,164
6,18,345,285,164,43,180
6,19,285,164,180,43,121
6,20,164,180,121,43,95
6,21,180,121,95,43,62
6,22,121,95,62,43,81
6,23,95,62,81,43,53
0,0,62,81,53,43,22
0,1,81,53,22,43,14
0,2,53,22,14,43,7
0,3,22,14,7,43,15
0,4,14,7,15,43,10
0,5,7,15,10,43,5
0,6,15,10,5,43,24
0,7,10,5,24,43,44
0,8,5,24,44,43,62
0,9,24,44,62,43,107
0,10,44,62,107,43,108
0,11,62,107,108,43,211
0,12,107,108,211,43,276
0,13,108,211,276,43,389
0,14,211,276,389,43,472
0,15,276,389,472,43,406
0,16,389,472,406,43,362
0,17,472,406,362,43,248
0,18,406,362,248,43,155
0,19,362,248,155,43,119
0,20,248,155,119,43,73
0,21,155,119,73,43,78
0,22,119,73,78,43,72
0,23,73,78,72,43,41
1,0,78,72,41,43,15
1,1,72,41,15,43,11
1,2,41,15,11,43,7
1,3,15,11,7,43,9
1,4,11,7,9,43,7
1,5,7,9,7,43,15
1,6,9,7,15,43,88
1,7,7,15,88,43,190
1,8,15,88,190,43,201
1,9,88,190,201,43,191
1,10,190,201,191,43,154
1,11,201,191,154,43,225
1,12,191,154,225,43,268
1,13,154,225,268,43,358
1,14,225,268,358,43,463
1,15,268,358,463,43,546
1,16,358,463,546,43,398
1,17,463,546,398,43,261
1,18,546,398,261,43,223
1,19,398,261,223,43,167
1,20,261,223,167,43,107
1,21,223,167,107,43,79
1,22,167,107,79,43,61
1,23,107,79,61,43,42
2,0,79,61,42,43,18
2,1,61,42,18,43,9
2,2,42,18,9,43,8
2,3,18,9,8,43,3
2,4,9,8,3,43,11
2,5,8,3,11,43,19
2,6,3,11,19,43,71
2,7,11,19,71,43,191
2,8,19,71,191,43,210
2,9,71,191,210,43,207
2,10,191,210,207,43,154
2,11,210,207,154,43,233
2,12,207,154,233,43,228
2,13,154,233,228,43,298
2,14,233,228,298,43,350
2,15,228,298,350,43,452
2,16,298,350,452,43,346
2,17,350,452,346,43,268
2,18,452,346,268,43,288
2,19,346,268,288,43,216
2,20,268,288,216,43,131
2,21,288,216,131,43,128
2,22,216,131,128,43,89
2,23,131,128,89,43,40
3,0,128,89,40,43,19
3,1,89,40,19,43,6
3,2,40,19,6,43,9
3,3,19,6,9,43,5
3,4,6,9,5,43,8
3,5,9,5,8,43,19
3,6,5,8,19,43,73
3,7,8,19,73,43,217
3,8,19,73,217,43,262
3,9,73,217,262,43,250
3,10,217,262,250,43,196
3,11,262,250,196,43,239
3,12,250,196,239,43,246
3,13,196,239,246,43,308
3,14,239,246,308,43,402
3,15,246,308,402,43,435
3,16,308,402,435,43,317
3,17,402,435,317,43,262
3,18,435,317,262,43,266
3,19,317,262,266,43,231
3,20,262,266,231,43,146
3,21,266,231,146,43,159
3,22,231,146,159,43,129
3,23,146,159,129,43,55
4,0,159,129,55,43,25
4,1,129,55,25,43,12
4,2,55,25,12,43,16
4,3,25,12,16,43,7
4,4,12,16,7,43,5
4,5,16,7,5,43,25
4,6,7,5,25,43,90
4,7,5,25,90,43,258
4,8,25,90,258,43,202
4,9,90,258,202,43,234
4,10,258,202,234,43,174
4,11,202,234,174,43,232
4,12,234,174,232,43,271
4,13,174,232,271,43,339
4,14,232,271,339,43,445
4,15,271,339,445,43,470
4,16,339,445,470,43,293
4,17,445,470,293,43,297
4,18,470,293,297,43,346
4,19,293,297,346,43,305
4,20,297,346,305,43,228
4,21,346,305,228,43,172
4,22,305,228,172,43,119
4,23,228,172,119,43,90
5,0,172,119,90,43,57
5,1,119,90,57,43,34
5,2,90,57,34,43,11
5,3,57,34,11,43,16
5,4,34,11,16,43,6
5,5,11,16,6,43,12
5,6,16,6,12,43,29
5,7,6,12,29,43,98
5,8,12,29,98,43,113
5,9,29,98,113,43,218
5,10,98,113,218,43,205
5,11,113,218,205,43,205
5,12,218,205,205,43,297
5,13,205,205,297,43,411
5,14,205,297,411,43,363
5,15,297,411,363,43,439
5,16,411,363,439,43,297
5,17,363,439,297,43,197
5,18,439,297,197,43,242
5,19,297,197,242,43,200
5,20,197,242,200,43,149
5,21,242,200,149,43,115
