dayofweek,PULocationID,Hours,time1,time2,time3,count
6,138,0,0,0,0,53
6,138,1,0,0,53,3
6,138,3,53,3,0,4
6,138,4,3,0,4,4
6,138,5,0,4,4,6
6,138,6,4,4,6,4
6,138,7,4,6,4,35
6,138,8,6,4,35,101
6,138,9,4,35,101,147
6,138,10,35,101,147,293
6,138,11,101,147,293,250
6,138,12,147,293,250,260
6,138,13,293,250,260,296
6,138,14,250,260,296,337
6,138,15,260,296,337,383
6,138,16,296,337,383,437
6,138,17,337,383,437,525
6,138,18,383,437,525,368
6,138,19,437,525,368,385
6,138,20,525,368,385,361
6,138,21,368,385,361,452
6,138,22,385,361,452,495
6,138,23,361,452,495,511
0,138,0,452,495,511,319
0,138,1,495,511,319,36
0,138,4,36,0,0,10
0,138,5,0,0,10,7
0,138,6,0,10,7,12
0,138,7,10,7,12,110
0,138,8,7,12,110,279
0,138,9,12,110,279,456
0,138,10,110,279,456,394
0,138,11,279,456,394,411
0,138,12,456,394,411,395
0,138,13,394,411,395,498
0,138,14,411,395,498,395
0,138,15,395,498,395,505
0,138,16,498,395,505,516
0,138,17,395,505,516,496
0,138,18,505,516,496,595
0,138,19,516,496,595,647
0,138,20,496,595,647,540
0,138,21,595,647,540,650
0,138,22,647,540,650,765
0,138,23,540,650,765,512
1,138,0,650,765,512,414
1,138,1,765,512,414,128
1,138,2,512,414,128,41
1,138,3,414,128,41,1
1,138,4,128,41,1,5
1,138,5,41,1,5,6
1,138,6,1,5,6,29
1,138,7,5,6,29,213
1,138,8,6,29,213,321
1,138,9,29,213,321,520
1,138,10,213,321,520,484
1,138,11,321,520,484,526
1,138,12,520,484,526,346
1,138,13,484,526,346,387
1,138,14,526,346,387,418
1,138,15,346,387,418,458
1,138,16,387,418,458,481
1,138,17,418,458,481,459
1,138,18,458,481,459,517
1,138,19,481,459,517,556
1,138,20,459,517,556,448
1,138,21,517,556,448,579
1,138,22,556,448,579,493
1,138,23,448,579,493,441
2,138,0,579,493,441,242
2,138,1,493,441,242,8
2,138,4,8,0,0,5
2,138,5,0,0,5,8
2,138,6,0,5,8,7
2,138,7,5,8,7,172
2,138,8,8,7,172,312
2,138,9,7,172,312,348
2,138,10,172,312,348,451
2,138,11,312,348,451,437
2,138,12,348,451,437,230
2,138,13,451,437,230,409
2,138,14,437,230,409,370
2,138,15,230,409,370,435
2,138,16,409,370,435,418
2,138,17,370,435,418,410
2,138,18,435,418,410,530
