PULocationID,Date,Hours,count
1,2017-01-01,3,1
1,2017-01-01,4,1
1,2017-01-01,5,2
1,2017-01-01,6,2
1,2017-01-01,7,2
1,2017-01-01,10,3
1,2017-01-01,11,2
1,2017-01-01,12,3
1,2017-01-01,13,3
1,2017-01-01,14,3
1,2017-01-01,15,3
1,2017-01-01,16,6
1,2017-01-01,17,4
1,2017-01-01,18,3
1,2017-01-01,23,5
1,2017-01-02,3,2
1,2017-01-02,4,1
1,2017-01-02,5,1
1,2017-01-02,6,2
1,2017-01-02,7,4
1,2017-01-02,10,1
1,2017-01-02,11,1
1,2017-01-02,15,5
1,2017-01-02,16,5
1,2017-01-02,17,4
1,2017-01-02,19,2
1,2017-01-03,0,1
1,2017-01-03,1,1
1,2017-01-03,7,1
1,2017-01-03,11,1
1,2017-01-03,12,2
1,2017-01-03,13,2
1,2017-01-03,14,3
1,2017-01-03,15,1
1,2017-01-03,16,5
1,2017-01-03,17,1
1,2017-01-03,19,2
1,2017-01-03,21,1
1,2017-01-03,23,1
1,2017-01-04,8,1
1,2017-01-04,10,1
1,2017-01-04,12,2
1,2017-01-04,14,3
1,2017-01-04,15,4
1,2017-01-04,16,2
1,2017-01-04,17,1
1,2017-01-04,19,2
1,2017-01-05,2,1
1,2017-01-05,5,2
1,2017-01-05,7,2
1,2017-01-05,8,1
1,2017-01-05,9,2
1,2017-01-05,12,4
1,2017-01-05,13,1
1,2017-01-05,15,1
1,2017-01-05,16,3
1,2017-01-05,17,1
1,2017-01-05,18,1
1,2017-01-06,8,2
1,2017-01-06,12,1
1,2017-01-06,13,2
1,2017-01-06,14,1
1,2017-01-06,15,3
1,2017-01-06,16,1
1,2017-01-06,17,2
1,2017-01-06,18,1
1,2017-01-07,2,1
1,2017-01-07,6,2
1,2017-01-07,8,1
1,2017-01-07,12,1
1,2017-01-07,13,1
1,2017-01-07,14,2
1,2017-01-07,15,2
1,2017-01-07,16,1
1,2017-01-07,17,3
1,2017-01-07,18,1
1,2017-01-07,19,1
1,2017-01-07,23,1
1,2017-01-08,5,1
1,2017-01-08,8,2
1,2017-01-08,9,2
1,2017-01-08,10,2
1,2017-01-08,11,1
1,2017-01-08,12,2
1,2017-01-08,13,7
1,2017-01-08,14,3
1,2017-01-08,15,2
1,2017-01-08,16,1
1,2017-01-08,17,2
1,2017-01-08,18,3
1,2017-01-09,0,1
1,2017-01-09,5,1
1,2017-01-09,8,1
1,2017-01-09,9,1
1,2017-01-09,10,1
1,2017-01-09,11,2
1,2017-01-09,14,2
1,2017-01-09,15,1
1,2017-01-09,16,1
1,2017-01-09,19,1
1,2017-01-10,1,1
1,2017-01-10,4,1
1,2017-01-10,8,1
1,2017-01-10,10,1
1,2017-01-10,11,1
1,2017-01-10,12,2
1,2017-01-10,14,2
1,2017-01-10,16,1
1,2017-01-10,17,2
1,2017-01-10,18,1
1,2017-01-10,19,1
1,2017-01-11,5,2
1,2017-01-11,6,2
1,2017-01-11,7,5
1,2017-01-11,8,3
1,2017-01-11,9,1
1,2017-01-11,10,3
1,2017-01-11,11,4
1,2017-01-11,12,4
1,2017-01-11,13,8
1,2017-01-11,14,2
1,2017-01-11,15,4
1,2017-01-11,16,6
1,2017-01-11,17,1
1,2017-01-11,18,2
1,2017-01-11,19,1
1,2017-01-11,20,1
1,2017-01-12,2,2
1,2017-01-12,6,1
1,2017-01-12,7,4
1,2017-01-12,12,2
1,2017-01-12,13,5
1,2017-01-12,15,2
1,2017-01-12,16,3
1,2017-01-12,17,1
1,2017-01-12,18,1
1,2017-01-12,20,1
1,2017-01-13,4,2
1,2017-01-13,5,1
1,2017-01-13,6,1
1,2017-01-13,7,3
1,2017-01-13,9,2
