PULocationID,Date,Hours,count
1,2017-02-01,3,2
1,2017-02-01,5,1
1,2017-02-01,8,1
1,2017-02-01,10,1
1,2017-02-01,11,2
1,2017-02-01,12,1
1,2017-02-01,13,1
1,2017-02-01,14,7
1,2017-02-01,15,2
1,2017-02-01,17,1
1,2017-02-02,0,1
1,2017-02-02,5,1
1,2017-02-02,8,1
1,2017-02-02,9,1
1,2017-02-02,10,3
1,2017-02-02,12,6
1,2017-02-02,13,2
1,2017-02-02,14,4
1,2017-02-02,15,2
1,2017-02-02,16,6
1,2017-02-02,17,1
1,2017-02-02,18,1
1,2017-02-03,5,1
1,2017-02-03,6,1
1,2017-02-03,13,1
1,2017-02-03,14,2
1,2017-02-03,15,2
1,2017-02-03,16,6
1,2017-02-04,5,2
1,2017-02-04,7,2
1,2017-02-04,12,1
1,2017-02-04,13,6
1,2017-02-04,15,1
1,2017-02-04,16,2
1,2017-02-04,17,1
1,2017-02-04,18,1
1,2017-02-04,20,1
1,2017-02-05,6,1
1,2017-02-05,7,1
1,2017-02-05,8,1
1,2017-02-05,9,1
1,2017-02-05,10,1
1,2017-02-05,12,1
1,2017-02-05,13,5
1,2017-02-05,14,2
1,2017-02-05,15,2
1,2017-02-05,16,2
1,2017-02-05,17,1
1,2017-02-05,19,2
1,2017-02-06,1,1
1,2017-02-06,4,1
1,2017-02-06,6,2
1,2017-02-06,7,2
1,2017-02-06,14,3
1,2017-02-06,15,1
1,2017-02-06,16,2
1,2017-02-06,19,1
1,2017-02-06,21,1
1,2017-02-07,4,1
1,2017-02-07,8,1
1,2017-02-07,9,1
1,2017-02-07,10,1
1,2017-02-07,12,1
1,2017-02-07,14,1
1,2017-02-07,16,1
1,2017-02-08,5,1
1,2017-02-08,6,1
1,2017-02-08,8,1
1,2017-02-08,10,1
1,2017-02-08,11,2
1,2017-02-08,13,2
1,2017-02-08,14,5
1,2017-02-08,15,2
1,2017-02-08,16,3
1,2017-02-08,17,4
1,2017-02-08,18,2
1,2017-02-08,19,7
1,2017-02-09,0,1
1,2017-02-09,3,1
1,2017-02-09,5,1
1,2017-02-09,8,1
1,2017-02-09,12,2
1,2017-02-09,13,2
1,2017-02-09,14,8
1,2017-02-09,15,4
1,2017-02-09,16,1
1,2017-02-09,17,1
1,2017-02-09,19,3
1,2017-02-10,4,1
1,2017-02-10,5,7
1,2017-02-10,6,2
1,2017-02-10,7,4
1,2017-02-10,8,3
1,2017-02-10,9,1
1,2017-02-10,11,1
1,2017-02-10,12,2
1,2017-02-10,14,4
1,2017-02-10,15,3
1,2017-02-10,16,2
1,2017-02-10,19,2
1,2017-02-10,23,1
1,2017-02-11,0,1
1,2017-02-11,4,1
1,2017-02-11,5,1
1,2017-02-11,6,2
1,2017-02-11,7,2
1,2017-02-11,11,2
1,2017-02-11,15,1
1,2017-02-11,16,1
1,2017-02-11,17,2
1,2017-02-11,20,1
1,2017-02-11,22,2
1,2017-02-12,7,2
1,2017-02-12,8,1
1,2017-02-12,10,1
1,2017-02-12,11,1
1,2017-02-12,12,1
1,2017-02-12,13,2
1,2017-02-12,14,1
1,2017-02-12,15,2
1,2017-02-12,16,1
1,2017-02-12,17,1
1,2017-02-12,18,2
1,2017-02-12,19,2
1,2017-02-12,20,1
1,2017-02-13,8,1
1,2017-02-13,10,2
1,2017-02-13,11,1
1,2017-02-13,12,1
1,2017-02-13,13,1
1,2017-02-13,14,1
1,2017-02-13,15,1
1,2017-02-13,17,2
1,2017-02-13,20,2
1,2017-02-13,21,1
1,2017-02-14,8,1
1,2017-02-14,9,1
1,2017-02-14,11,2
1,2017-02-14,15,3
1,2017-02-14,16,2
1,2017-02-14,18,4
1,2017-02-15,3,1
1,2017-02-15,6,2
1,2017-02-15,7,3
1,2017-02-15,8,4
1,2017-02-15,10,2
1,2017-02-15,13,1
1,2017-02-15,14,9
1,2017-02-15,15,2
1,2017-02-15,16,3
1,2017-02-15,17,3
1,2017-02-15,19,1
1,2017-02-15,20,2
1,2017-02-16,6,2
1,2017-02-16,7,1
1,2017-02-16,9,1
1,2017-02-16,10,1
1,2017-02-16,11,2
1,2017-02-16,13,4
1,2017-02-16,14,4
1,2017-02-16,15,3
